date,AAPL,XOM,JPM,WMT,PFE,AMZN,BAC,T
2025-02-05,230.795120,103.905609,262.464691,100.846344,23.833456,236.169998,45.316898,22.893896
2025-02-06,231.539703,102.534454,268.744110,101.230202,23.283588,238.830002,45.922920,22.875187
2025-02-07,225.989990,102.969437,267.676483,99.556969,23.202461,229.149994,45.595863,22.959391
2025-02-10,226.258347,104.936356,263.056702,101.299103,23.319647,233.139999,44.893642,23.258778
2025-02-11,231.197952,105.598297,266.890350,100.856194,23.013166,232.759995,45.009075,23.530098
2025-02-12,235.421982,102.421181,267.336823,101.978233,22.959080,228.929993,44.451153,23.726576
2025-02-13,240.053482,103.165367,268.181152,103.395569,23.112320,230.369995,44.566589,23.979181
2025-02-14,243.104721,103.270325,268.443237,102.401466,23.013166,228.679993,45.172607,24.203724
2025-02-18,242.975510,105.083084,271.704285,102.145569,23.040207,226.649994,44.758976,24.390841
2025-02-19,243.373077,105.235725,271.024902,102.362091,23.337673,226.630005,44.258762,24.549891
2025-02-20,244.327179,106.857681,258.941589,95.679016,23.346687,222.880005,43.575790,24.465689
2025-02-21,244.048904,105.607826,256.457031,93.287300,23.707253,216.580002,43.104439,24.905416
2025-02-24,245.589447,106.161201,253.642441,92.194778,24.022751,212.710007,42.767765,25.017687
2025-02-25,245.529816,104.691917,249.818481,96.151474,24.103878,212.800003,42.267548,24.933485
2025-02-26,238.890640,104.434303,251.167526,94.684929,23.815426,214.350006,42.267548,24.858635
2025-02-27,235.849350,105.092628,251.419861,95.265656,23.526974,208.740005,42.440704,25.167381
2025-02-28,240.361588,106.218452,256.854919,97.056992,23.824442,212.279999,44.345341,25.644533
2025-03-03,236.574905,102.812370,252.943634,96.053040,23.662186,205.020004,43.825901,25.934568
2025-03-04,234.487717,102.602455,242.879074,93.474312,23.211475,203.800003,41.045895,24.531179
2025-03-05,234.298904,100.598877,244.121368,94.468399,23.382746,208.360001,40.680355,24.493757
2025-03-06,233.891388,102.678795,239.278336,93.149506,23.653172,200.699997,39.881950,25.008331
2025-03-07,237.608536,104.014496,235.143814,90.275497,24.094866,199.250000,40.075550,25.373211
2025-03-10,226.089371,106.666870,225.380127,86.436913,24.013737,194.539993,38.555782,25.522909
2025-03-11,219.489990,104.148094,222.390839,86.062889,23.427816,196.589996,38.342815,24.334707
2025-03-12,215.653580,104.119453,221.187363,83.858177,23.175419,198.889999,38.633224,24.063385
2025-03-13,208.398178,103.680573,218.557190,83.169189,23.076262,193.889999,38.400890,24.409554
